Crop,N,P,K,pH,Temperature,Humidity,Rainfall,Yield_tons_per_hectare
Sugarcane,194.4,143.42,128.89,6.36,31.94,75.01,291.32,6.85
Soybean,54.81,46.48,38.56,6.91,20.09,63.77,40.55,2.01
Onion,138.13,43.46,44.04,7.03,29.37,69.09,65.12,1.37
Tomato,86.55,61.46,66.89,6.6,21.24,59.42,61.15,2.96
Tomato,146.67,94.61,90.8,6.29,30.62,69.67,131.04,2.48
Onion,11.59,82.09,59.82,6.96,21.69,66.63,70.14,1.49
Rice,40.79,43.72,51.23,6.4,29.85,70.09,151.71,2.94
Tomato,140.36,22.5,90.44,6.23,23.04,56.6,77.42,2.69
Cotton,100.99,42.34,67.67,7.24,30.2,54.25,174.65,2.56
Rice,92.4,41.09,53.15,6.66,33.3,89.0,149.09,2.9
Maize,128.96,89.52,18.47,7.0,26.81,76.63,189.02,3.04
Cotton,71.22,26.36,59.24,6.91,22.17,69.71,53.74,2.29
Cotton,135.55,67.97,56.12,7.17,21.61,64.11,116.3,1.97
Groundnut,0.0,0.45,19.23,6.76,24.99,58.31,132.78,1.36
Groundnut,69.75,30.55,1.15,7.38,38.34,61.88,36.48,1.03
Rice,76.76,37.74,57.89,6.67,22.07,76.75,233.06,3.24
Maize,157.86,88.67,42.77,6.89,8.12,60.5,218.2,3.42
Maize,136.01,49.17,70.07,7.07,29.13,47.74,171.98,3.37
Tomato,111.58,47.68,73.08,6.92,14.44,87.77,144.19,2.68
Soybean,107.21,30.96,36.71,6.44,32.83,69.54,152.5,1.64
Wheat,134.61,93.54,79.91,6.96,23.38,65.78,175.33,2.71
Maize,183.13,67.46,62.84,6.61,20.38,62.31,176.19,3.25
Rice,105.81,0.0,94.3,7.25,26.69,80.09,215.15,1.94
Wheat,125.78,57.12,58.11,7.09,13.43,60.4,158.17,2.88
Onion,93.53,72.76,42.93,6.91,28.49,64.21,110.72,1.73
Sugarcane,237.12,94.85,125.67,7.15,25.7,81.79,234.77,7.34
Soybean,0.0,60.1,40.81,5.97,23.23,64.26,127.6,1.37
Soybean,89.49,87.32,55.62,6.9,31.47,82.36,223.51,1.76
Potato,128.45,95.67,114.17,6.39,27.45,75.11,171.31,1.99
Groundnut,94.06,43.27,33.84,6.03,23.78,52.71,73.81,0.6
Maize,126.44,108.98,64.71,7.26,30.89,83.34,91.43,2.95
Groundnut,5.89,40.61,33.99,5.98,28.1,60.35,63.86,0.94
Cotton,70.21,39.02,65.06,6.44,25.55,43.69,113.71,1.98
Groundnut,4.53,23.83,36.93,5.77,31.53,64.06,96.51,1.13
Tomato,131.42,73.81,82.85,7.3,26.3,79.14,126.68,2.9
Tomato,96.1,50.83,86.99,6.67,26.54,81.0,48.75,2.47
Wheat,126.89,45.51,127.56,7.26,19.61,54.85,125.99,2.36
Rice,83.36,30.87,34.54,7.17,34.92,82.52,132.94,3.27
Maize,196.63,97.4,64.69,7.51,25.27,71.28,145.96,3.34
Maize,189.89,58.21,32.77,6.85,23.87,71.49,157.34,3.79
Tomato,81.31,85.07,64.7,5.6,25.19,67.45,64.52,2.11
Rice,79.75,59.52,51.7,6.53,30.39,79.73,128.51,2.76
Wheat,113.9,56.79,77.02,7.38,23.03,57.2,80.97,2.81
Cotton,115.76,2.23,53.31,6.65,28.59,46.97,118.09,1.93
Potato,145.23,65.67,87.22,5.46,19.9,80.71,111.47,2.62
Soybean,70.56,90.6,37.16,5.49,28.01,72.49,131.72,1.74
Potato,148.96,69.77,93.95,6.42,18.92,81.1,138.41,2.33
Tomato,85.4,52.6,13.58,6.2,23.59,75.64,106.57,2.45
Potato,84.61,78.86,66.41,5.4,17.06,87.76,168.56,2.1
Soybean,79.41,45.73,39.12,6.71,19.07,75.93,110.57,2.16
Cotton,128.83,16.54,58.37,6.57,18.94,44.67,242.06,2.01
Sugarcane,257.52,116.58,85.16,7.01,32.94,79.38,221.13,6.74
Onion,198.63,47.18,43.49,6.86,20.79,66.23,164.35,1.45
Wheat,85.12,56.77,50.71,7.71,25.86,61.08,86.06,2.35
Groundnut,30.45,56.73,32.51,5.96,24.04,59.77,-19.14,1.4
Soybean,61.19,84.15,33.72,6.59,27.13,82.98,193.13,1.8
Wheat,105.74,46.72,55.18,6.78,22.77,64.2,179.59,2.99
Cotton,155.89,52.49,91.99,6.82,33.93,65.62,170.42,2.0
Tomato,99.95,32.11,79.2,7.27,22.45,77.85,162.2,2.55
Potato,189.49,21.83,75.54,5.54,13.9,78.36,164.5,2.03
Onion,117.88,31.0,25.64,7.0,18.85,49.3,148.57,1.89
Cotton,146.71,53.74,82.52,7.68,24.79,66.11,133.77,2.28
Rice,85.58,65.93,44.47,5.76,35.26,70.52,262.65,2.91
Sugarcane,235.28,122.7,108.6,7.45,32.11,54.86,255.92,6.99
Soybean,85.14,37.14,26.3,7.3,31.35,69.96,139.24,1.8
Tomato,137.1,46.48,99.87,6.37,21.9,70.22,90.44,2.73
Rice,63.88,49.37,64.32,6.14,27.35,84.61,178.21,2.99
Rice,96.66,61.67,27.88,6.03,26.46,70.32,228.22,2.64
Sugarcane,269.99,125.92,100.25,7.63,21.82,100.23,220.49,6.78
Cotton,44.32,59.73,47.87,7.05,25.28,44.22,79.78,2.01
Sugarcane,161.56,85.02,113.27,8.5,32.39,65.83,231.64,7.17
Maize,139.52,88.06,54.35,7.25,23.43,78.26,171.68,3.48
Cotton,165.32,13.5,55.23,6.69,40.54,73.07,194.7,1.59
Cotton,172.79,57.37,89.55,7.09,27.75,52.48,109.52,2.07
Groundnut,41.02,49.37,70.19,4.72,29.55,67.18,157.35,1.37
Wheat,126.24,79.72,89.82,6.85,21.33,76.79,43.8,2.36
Rice,123.98,61.85,50.45,6.28,23.59,74.09,277.4,2.47
Potato,153.04,64.93,116.86,5.73,17.51,58.17,69.33,2.29
Soybean,40.25,102.1,8.77,6.1,26.08,66.35,74.79,1.26
Maize,120.28,64.27,89.04,6.84,30.91,70.07,235.69,2.67
Maize,140.87,96.14,38.57,7.68,32.42,60.31,154.84,3.26
Soybean,61.11,35.35,58.58,5.77,29.02,76.28,46.94,2.13
Onion,115.41,64.99,34.83,7.11,27.63,64.01,200.1,1.66
Sugarcane,234.22,105.86,111.71,6.36,31.86,67.65,207.68,7.69
Onion,93.59,29.93,42.82,6.15,29.17,58.04,126.46,2.01
Onion,85.0,60.64,29.4,8.02,26.68,63.07,61.36,1.66
Groundnut,19.8,89.06,15.49,6.27,26.91,58.83,94.57,1.29
Wheat,146.19,72.18,68.38,5.48,21.5,43.44,182.32,2.9
Soybean,52.21,54.76,38.01,7.12,26.48,87.28,150.69,1.94
Rice,82.05,56.36,5.25,6.54,27.65,87.25,190.61,2.63
Soybean,80.22,38.34,11.49,6.86,28.9,74.67,195.15,1.65
Rice,37.07,38.6,33.05,6.08,27.6,73.88,108.2,2.83
Potato,115.91,84.63,86.88,6.56,26.02,81.79,72.45,2.47
Wheat,167.27,60.38,86.46,6.72,10.67,52.4,236.47,2.09
Groundnut,29.99,50.68,29.74,5.98,27.36,54.38,28.9,1.72
Tomato,152.2,77.39,63.81,5.87,22.58,85.68,152.28,2.68
Soybean,106.7,68.42,52.41,6.83,23.27,55.86,166.15,2.17
Tomato,86.45,76.44,113.62,6.5,19.91,71.23,92.47,2.35
Soybean,93.0,27.93,21.12,6.51,25.89,73.44,223.76,1.74
Soybean,97.95,40.49,65.36,6.24,26.36,68.91,181.65,1.6
Cotton,31.5,45.73,79.37,7.08,34.16,59.37,91.81,1.53
Wheat,112.88,80.56,52.16,7.01,22.11,49.85,181.16,3.03
Soybean,74.82,37.42,48.67,5.39,27.68,74.52,213.78,1.92
Rice,92.25,22.77,32.87,5.74,27.03,76.95,214.96,2.91
Groundnut,32.5,43.33,33.37,6.24,27.2,67.61,93.97,1.61
Maize,144.58,55.71,42.8,7.82,20.44,62.21,160.63,3.61
Tomato,110.06,65.58,45.8,7.02,27.16,57.57,6.55,2.37
Potato,142.72,131.61,110.87,5.1,14.55,74.47,162.68,1.88
Groundnut,25.95,35.65,17.92,6.33,30.87,68.41,128.72,1.39
Wheat,141.44,66.18,62.68,6.69,17.52,60.74,271.99,2.76
Soybean,61.66,43.35,40.16,7.59,24.0,79.07,111.2,1.94
Wheat,143.75,48.56,47.18,7.83,24.92,67.91,189.36,2.68
Sugarcane,260.53,100.88,111.55,6.47,25.88,62.99,313.7,6.59
Soybean,67.93,0.13,33.37,6.25,32.92,73.97,88.34,1.86
Tomato,120.53,60.75,55.95,6.0,19.87,70.46,123.89,3.12
Soybean,91.55,5.85,55.25,5.77,21.17,61.88,96.83,1.47
Onion,106.1,21.78,57.13,7.92,15.35,62.15,-26.17,1.56
Wheat,139.28,74.41,61.55,7.44,32.73,77.12,123.87,2.3
Soybean,67.82,41.06,59.03,5.91,25.64,78.38,124.97,1.76
Cotton,135.24,12.42,63.44,6.98,28.08,56.8,150.52,1.99
Groundnut,18.96,41.85,27.77,6.59,23.77,68.47,100.95,1.41
Sugarcane,218.55,85.45,112.76,7.31,27.02,80.29,277.33,7.66
Groundnut,58.98,59.83,17.45,7.42,19.98,69.49,121.56,0.93
Maize,146.27,68.42,76.11,6.44,23.69,41.64,266.74,3.31
Wheat,129.81,57.97,58.04,7.4,28.36,62.51,182.75,2.86
Onion,130.53,40.74,71.51,7.36,27.41,58.4,91.58,1.69
Wheat,78.87,91.9,59.75,7.14,17.11,46.73,119.8,2.52
Onion,120.2,53.24,56.93,6.63,24.48,79.83,135.24,1.96
Onion,108.82,19.94,29.11,7.03,21.95,69.4,183.82,1.75
Sugarcane,237.77,101.89,83.86,7.17,25.98,90.58,289.52,7.41
Groundnut,67.08,9.6,51.76,5.54,26.96,56.88,133.09,1.06
Groundnut,70.35,37.96,54.18,6.28,18.82,50.81,92.51,1.31
Maize,163.91,46.65,47.19,7.81,25.56,61.73,204.59,3.78
Sugarcane,186.31,110.05,93.42,7.56,30.85,79.82,212.04,7.43
Wheat,148.36,58.41,65.7,6.85,24.49,53.92,143.22,2.89
Maize,185.19,59.52,89.19,6.96,19.79,68.69,160.85,3.28
Cotton,98.71,51.49,51.77,7.5,22.22,43.91,138.37,2.63
Sugarcane,189.42,114.02,121.47,7.61,28.44,64.09,139.62,7.24
Maize,185.34,47.52,64.0,6.32,25.53,72.08,147.03,3.43
Tomato,107.55,74.1,84.71,6.53,31.79,76.62,85.48,2.68
Maize,147.72,71.61,100.49,6.99,14.82,59.57,83.38,3.13
Wheat,60.38,42.57,29.59,7.19,20.0,63.03,144.77,2.06
Maize,165.41,108.44,58.18,6.59,17.86,55.92,202.65,3.6
Potato,157.83,96.0,114.15,6.25,14.71,76.74,107.58,2.29
Potato,159.93,113.58,73.81,6.24,25.41,82.59,191.65,2.23
Tomato,158.95,38.25,52.28,6.5,13.19,82.31,181.04,2.24
Tomato,108.88,58.55,81.04,6.56,26.79,68.27,167.16,2.94
Potato,131.79,106.7,72.83,5.95,22.83,67.77,165.48,2.27
Tomato,94.18,58.55,76.87,6.22,35.51,62.37,170.25,2.59
Tomato,87.4,62.06,92.98,6.96,31.81,99.45,132.53,2.48
Groundnut,43.59,44.68,58.52,5.55,38.84,68.56,15.8,1.21
Groundnut,54.48,73.53,14.56,6.56,17.26,59.11,155.6,1.01
Maize,104.79,72.92,37.91,7.11,20.57,57.27,78.95,3.46
Potato,145.17,56.23,103.88,6.51,16.92,77.68,163.67,2.09
Wheat,181.7,50.58,73.12,7.38,19.3,66.07,162.29,2.2
Potato,140.03,67.75,90.77,5.35,23.63,91.02,198.9,2.51
Potato,139.66,67.27,84.43,6.32,19.14,74.23,214.76,2.38
Cotton,74.84,36.38,83.64,7.52,30.76,73.97,201.75,2.17
Cotton,74.84,23.8,62.25,7.38,37.13,59.17,178.44,1.98
Tomato,138.68,76.47,40.41,6.29,28.75,72.74,60.17,1.99
Rice,69.03,38.57,22.32,6.57,30.53,86.71,82.2,2.79
Groundnut,20.86,61.44,49.78,6.44,25.08,56.72,63.58,1.68
Onion,72.39,67.0,54.16,6.78,18.72,51.44,67.62,1.64
Wheat,48.93,56.05,78.49,7.28,17.52,60.47,122.19,2.44
Cotton,146.2,69.37,80.42,6.75,31.75,38.13,107.38,2.12
Potato,172.21,93.4,105.9,5.9,20.69,65.47,107.77,2.29
Potato,155.2,43.49,109.1,6.39,17.61,98.74,115.85,2.16
Rice,68.15,38.48,33.43,5.8,25.27,79.02,261.43,3.64
Rice,120.06,24.49,26.08,6.42,36.92,78.35,133.62,2.55
Groundnut,52.71,63.8,36.0,6.54,15.63,61.04,143.03,1.16
Cotton,74.91,12.67,101.8,6.64,29.21,61.04,195.6,1.84
Wheat,103.82,63.46,85.68,6.91,15.23,44.59,88.94,2.76
Wheat,110.38,47.85,45.68,7.04,18.8,57.27,217.47,3.01
Tomato,71.7,66.55,64.46,6.38,25.55,67.87,131.52,2.72
Tomato,128.84,47.06,67.42,5.78,19.73,89.62,80.4,2.43
Onion,109.6,47.79,46.09,7.5,24.75,59.7,78.78,1.77
Soybean,106.24,53.84,14.14,6.48,18.31,91.84,81.72,1.66
Potato,157.75,74.23,94.2,6.21,25.63,82.68,223.93,2.09
Tomato,129.52,63.1,87.02,7.19,22.9,65.94,146.7,2.47
Onion,92.89,47.32,31.59,7.33,16.69,63.64,114.66,2.07
Rice,79.68,58.72,54.01,6.56,22.55,65.65,205.33,2.91
Potato,177.58,94.92,96.31,5.42,20.55,64.82,112.08,2.05
Tomato,115.84,83.4,79.9,6.28,16.37,75.52,80.98,2.72
Sugarcane,189.37,116.76,96.86,7.17,32.43,96.07,294.42,7.49
Groundnut,30.1,39.5,21.0,5.92,23.14,66.53,46.44,1.83
Tomato,142.56,60.41,80.01,6.22,25.35,80.88,84.84,2.5
Potato,171.1,86.49,77.6,5.63,13.7,67.75,133.82,2.2
Onion,80.48,34.84,45.42,6.88,20.42,76.59,125.4,1.45
Maize,165.71,82.11,41.31,6.05,25.04,64.92,123.92,3.35
Rice,77.37,35.34,31.65,6.46,22.49,75.65,226.67,3.17
Potato,99.84,70.55,78.6,6.13,19.59,58.41,187.95,1.92
Wheat,166.78,59.02,35.07,6.43,21.74,56.09,145.17,2.85
Groundnut,9.02,51.2,68.4,6.34,18.97,65.05,41.85,1.55
Wheat,95.31,119.39,89.35,6.6,20.1,67.54,189.18,2.28
Onion,137.56,47.54,42.67,6.63,26.29,68.65,114.56,1.9
Maize,88.47,76.2,54.37,7.63,17.36,80.57,183.77,3.5
Rice,130.28,51.22,48.01,6.62,25.58,79.72,164.22,2.75
Sugarcane,129.92,108.58,97.57,7.03,31.1,60.66,346.46,7.07
Potato,145.62,60.69,100.48,6.69,23.18,83.54,177.32,2.23
Potato,106.5,75.98,95.28,6.52,19.55,91.12,209.87,2.14
Onion,46.15,77.71,77.19,6.12,29.55,68.82,108.03,1.72
Onion,140.34,63.03,59.46,7.11,20.0,64.45,54.88,1.59
Tomato,109.0,47.29,82.73,6.34,26.51,53.78,114.33,2.81
Maize,140.68,66.55,18.3,6.98,28.24,69.94,231.94,3.51
Groundnut,44.36,53.12,53.75,5.41,22.53,75.87,-23.02,1.36
Groundnut,65.17,48.13,31.9,6.26,25.23,60.31,65.83,1.49
Cotton,142.7,47.33,42.27,6.74,27.08,60.06,69.6,1.91
Soybean,95.32,78.78,37.57,5.83,42.42,77.83,116.65,1.98
Soybean,76.27,77.34,53.19,6.55,25.43,55.53,226.9,1.8
Groundnut,0.0,45.74,20.77,6.17,30.44,69.95,140.74,1.17
Tomato,121.49,68.16,44.84,6.79,16.71,90.4,99.77,2.59
Rice,56.91,27.4,85.48,6.97,20.25,95.04,259.66,2.38
Groundnut,39.2,49.7,79.45,5.8,27.73,55.72,28.35,1.81
Wheat,84.55,64.4,25.19,6.8,22.11,51.75,179.34,2.42
Groundnut,64.8,77.24,28.27,6.24,27.92,66.19,100.72,1.18
Wheat,112.7,62.3,85.96,7.32,23.51,67.23,142.31,2.76
Onion,67.44,75.38,0.0,6.76,27.7,51.36,119.99,1.24
Soybean,68.94,78.92,53.96,5.48,21.12,79.75,152.45,2.29
Cotton,150.48,43.16,120.06,7.01,23.19,48.66,7.16,2.14
Cotton,147.84,29.69,65.44,7.05,23.2,37.45,109.48,1.95
Tomato,108.35,64.45,108.59,6.35,24.85,77.27,147.71,2.59
Maize,152.89,80.95,27.43,7.43,32.16,57.77,189.68,3.64
Groundnut,13.63,59.63,43.27,5.47,29.3,49.0,146.96,1.32
Wheat,115.16,87.45,69.93,6.46,14.93,54.01,169.73,2.69
Tomato,94.71,36.66,85.63,6.41,34.79,70.37,210.71,2.26
Maize,102.8,47.6,73.78,7.68,21.09,60.39,121.55,2.79
Groundnut,51.55,54.46,40.21,5.5,35.2,54.97,126.68,1.14
Cotton,94.28,55.83,76.54,7.08,30.47,43.69,129.87,2.38
Soybean,86.95,61.45,24.54,5.84,14.93,78.18,171.38,2.05
Maize,159.2,27.34,29.47,6.89,25.68,62.77,198.45,3.35
Tomato,123.62,47.22,99.64,6.28,17.35,62.29,102.58,2.9
Wheat,118.73,56.28,35.03,7.39,16.74,59.0,224.01,2.79
Cotton,51.15,14.61,68.71,6.39,31.24,55.42,128.27,1.81
Onion,152.24,106.85,44.43,6.98,22.49,62.4,58.4,1.18
Soybean,45.93,68.1,39.61,5.21,28.22,69.62,197.33,1.89
Groundnut,0.0,5.41,25.61,5.89,31.72,59.91,156.68,0.78
Maize,178.96,84.42,9.64,7.46,25.47,68.92,136.76,3.45
Onion,64.42,66.64,66.41,6.31,31.92,67.32,132.69,1.26
Wheat,183.53,35.51,80.5,6.5,16.91,67.89,201.38,2.0
Soybean,112.71,80.9,31.24,7.3,18.72,63.75,153.95,1.53
Onion,107.91,54.82,46.26,7.22,20.86,67.32,157.32,2.02
Groundnut,53.58,27.02,50.5,5.76,20.59,59.28,54.79,1.41
Rice,104.44,1.95,23.43,5.77,25.69,84.55,187.89,2.43
Groundnut,69.01,3.9,64.74,5.93,26.61,54.73,177.14,0.61
Cotton,100.35,60.55,37.78,6.54,27.26,46.13,79.22,2.13
Maize,169.49,63.15,71.57,6.3,18.74,84.26,147.1,3.17
Sugarcane,147.74,121.5,93.17,7.07,29.2,85.13,241.02,7.64
Groundnut,34.01,71.24,56.1,6.18,24.07,63.32,125.5,1.39
Potato,154.99,104.72,141.4,6.43,27.31,68.71,185.09,2.37
Sugarcane,173.11,90.29,134.76,6.71,23.29,90.28,309.84,7.08
Sugarcane,198.63,91.23,105.64,7.99,31.19,96.67,205.1,7.61
Maize,138.81,48.3,46.94,7.01,27.62,86.7,203.22,3.86
Maize,151.98,103.56,97.97,7.07,20.04,59.51,194.1,3.19
Wheat,140.95,69.2,60.14,6.68,22.01,78.55,201.0,2.83
Cotton,130.89,42.58,59.83,6.63,27.37,50.78,180.41,2.08
Wheat,95.92,98.85,50.97,7.08,22.26,48.63,211.77,2.58
Onion,146.75,36.42,51.98,6.82,23.32,50.45,105.54,1.4
Onion,110.75,7.43,12.97,7.21,19.27,55.12,163.54,1.49
Onion,126.16,46.68,103.59,6.5,30.72,64.39,17.27,1.55
Rice,89.44,18.97,21.56,6.49,29.75,55.29,252.66,2.74
Groundnut,0.0,68.82,39.53,6.81,29.19,59.98,92.36,1.39
Tomato,107.59,42.95,92.2,6.43,24.17,80.89,114.31,2.73
Maize,132.01,78.61,57.0,7.25,22.1,60.42,219.61,3.71
Tomato,92.81,86.13,46.03,6.89,17.67,88.86,42.77,2.56
Soybean,77.55,52.67,53.71,6.82,21.48,61.84,162.48,1.72
Maize,132.47,130.81,30.64,7.37,22.07,70.09,212.72,3.33
Maize,143.99,109.78,38.21,6.92,26.23,53.78,165.71,3.49
Maize,137.04,118.82,33.23,7.39,29.28,64.86,136.74,3.09
Tomato,104.46,24.29,59.93,5.76,30.73,76.18,159.3,2.55
Maize,155.01,99.21,37.78,6.85,28.74,51.79,334.83,3.41
Potato,154.26,105.14,118.3,6.02,18.65,59.96,122.18,2.37
Rice,93.32,64.42,37.59,5.81,33.28,94.36,244.91,2.89
Soybean,111.33,128.58,52.3,5.84,23.07,76.25,49.76,1.6
Groundnut,41.41,80.7,66.2,6.63,16.19,69.21,135.28,1.3
Sugarcane,148.09,84.46,76.66,6.19,29.99,67.02,381.27,6.84
Potato,188.81,48.62,89.4,6.05,13.46,70.78,139.1,2.09
Tomato,175.65,67.56,89.59,6.77,27.06,69.17,103.96,2.59
Cotton,134.7,72.52,65.19,7.38,27.03,55.34,96.32,2.07
Potato,190.24,81.85,102.71,5.28,16.45,72.59,108.54,2.28
Sugarcane,187.12,101.6,102.43,6.72,28.01,75.77,309.21,7.75
Onion,80.14,57.98,84.15,7.26,24.74,72.26,172.0,1.81
Sugarcane,217.0,121.37,78.37,6.45,30.79,75.69,222.8,7.43
Cotton,44.11,39.3,60.3,6.18,35.47,41.41,90.58,2.15
Potato,169.38,57.84,113.65,6.14,29.67,79.04,142.94,1.99
Sugarcane,177.67,83.48,127.42,7.21,32.83,90.14,132.08,7.33
Groundnut,31.66,58.7,23.43,5.82,29.44,83.85,150.17,1.81
Tomato,114.24,48.0,64.38,6.26,13.74,62.75,91.98,2.64
Potato,153.95,87.25,99.7,5.71,8.18,69.25,101.38,2.41
Potato,177.28,98.77,115.14,5.93,15.39,67.53,74.63,2.39
Cotton,94.76,25.07,53.47,6.57,28.22,65.67,102.6,1.72
Soybean,74.32,56.88,45.5,6.19,27.09,70.66,128.76,2.19
Onion,87.11,40.27,77.6,7.08,26.13,77.26,126.3,1.86
Onion,52.62,54.08,46.35,7.64,26.64,58.7,118.64,1.72
Soybean,93.63,39.62,57.2,6.39,27.41,62.76,100.75,2.17
Maize,118.45,50.44,48.97,6.41,20.57,66.05,104.75,3.33
Sugarcane,261.62,109.19,85.07,7.41,32.84,84.94,243.64,7.29
Tomato,58.85,38.87,83.28,6.66,19.44,72.59,88.81,2.38
Maize,180.74,88.18,30.06,6.27,22.94,64.73,147.11,3.6
Cotton,110.42,58.12,44.67,7.58,13.9,63.34,166.72,2.03
Rice,118.19,38.74,41.25,6.67,43.93,93.44,235.06,2.75
Potato,154.31,63.74,116.44,6.07,12.38,75.81,107.53,2.3
Groundnut,4.23,50.55,55.01,6.17,25.05,62.03,134.86,1.12
Onion,107.82,76.35,61.47,6.83,25.2,69.52,137.68,1.3
Wheat,73.4,80.1,29.89,7.2,18.24,50.04,167.48,2.39
Onion,163.31,37.5,78.8,6.98,18.69,72.99,128.29,1.46
Wheat,127.99,48.06,43.48,7.38,18.88,59.2,163.99,2.78
Cotton,57.12,75.73,72.42,6.9,30.15,57.37,158.35,2.14
Wheat,141.54,87.02,77.67,6.92,14.39,76.68,138.11,2.38
Maize,97.9,76.77,52.98,6.04,27.27,60.02,314.52,3.33
Cotton,86.94,32.5,95.56,6.81,24.38,62.07,50.98,2.22
Potato,203.44,91.33,112.76,6.44,26.55,87.1,171.98,2.28
Onion,73.42,65.53,29.89,6.62,6.59,69.01,67.81,1.78
Maize,161.71,92.48,28.33,7.32,35.53,72.64,219.52,3.36
Soybean,64.26,75.22,19.88,6.29,17.14,62.96,162.1,1.86
Wheat,121.53,63.41,22.28,6.81,16.59,53.41,179.98,2.46
Sugarcane,181.86,58.26,94.12,6.66,30.4,65.49,255.23,7.19
Potato,200.16,89.94,63.21,5.37,18.28,65.7,1.58,2.3
Groundnut,51.61,60.42,27.85,6.41,23.48,62.05,53.97,1.65
Rice,32.89,64.65,40.78,6.26,28.84,87.33,268.34,2.75
Soybean,53.28,61.11,86.34,7.17,30.54,77.96,164.97,1.98
Rice,66.3,12.9,41.38,6.09,22.72,72.8,324.27,2.9
Soybean,90.86,35.55,13.12,6.09,33.19,73.34,159.93,1.86
Onion,82.26,77.76,37.34,7.5,24.21,47.11,62.6,1.27
Groundnut,64.9,49.51,0.0,6.39,24.31,45.16,183.9,1.04
Sugarcane,191.2,92.01,69.73,6.55,36.42,70.26,251.1,6.9
Soybean,40.46,72.2,57.55,7.38,32.71,67.69,153.65,1.72
Wheat,181.64,82.98,63.39,7.1,27.22,65.8,227.93,1.91
Groundnut,43.84,39.69,75.13,6.97,27.16,75.36,189.16,1.28
Sugarcane,274.16,99.37,95.71,7.63,28.23,75.85,320.47,7.18
Rice,29.15,47.35,26.07,6.93,31.48,94.71,245.38,2.89
Groundnut,9.93,66.08,79.37,5.86,36.0,54.51,57.4,1.2
Wheat,141.48,78.24,40.76,7.22,16.57,45.11,103.56,2.37
Groundnut,45.65,73.04,10.54,6.38,21.12,66.29,68.86,1.03
Maize,173.99,58.26,43.68,5.69,29.73,73.21,180.27,3.28
Maize,186.28,56.67,40.93,7.96,21.48,72.42,208.1,3.54
Rice,88.46,47.53,45.44,6.47,35.56,66.87,251.07,3.31
Cotton,120.95,72.34,68.15,6.07,27.64,45.09,83.41,1.91
Potato,135.68,68.07,52.45,6.35,29.1,81.06,139.85,2.09
Maize,137.37,71.8,49.26,6.38,33.41,50.13,215.92,3.71
Potato,207.02,86.82,92.8,5.88,18.2,63.57,111.66,1.85
Potato,122.31,81.88,106.0,5.01,17.31,80.63,141.85,2.2
Tomato,107.64,49.18,67.27,6.59,35.54,62.56,104.09,2.65
Rice,59.38,61.96,0.0,6.23,32.09,77.06,158.96,2.56
Wheat,147.19,64.21,43.98,7.23,17.99,67.45,224.16,2.1
Rice,83.33,5.29,88.84,6.27,31.73,79.65,159.85,2.19
Cotton,147.57,69.12,108.87,7.03,29.44,52.33,105.65,1.69
Sugarcane,202.52,84.22,108.84,7.29,31.44,91.75,248.11,7.76
Maize,211.55,96.13,73.06,6.65,26.15,51.82,204.95,3.18
Onion,100.7,70.54,25.84,7.62,26.51,64.29,92.56,1.79
Tomato,165.63,62.03,82.88,6.51,32.91,66.31,118.52,2.94
Onion,104.41,72.74,31.77,6.7,29.42,58.24,92.44,1.74
Soybean,50.33,51.72,52.25,6.52,32.4,85.41,87.2,1.91
Wheat,140.23,90.33,74.37,7.15,23.33,66.74,103.61,2.54
Cotton,143.77,45.85,72.59,6.88,16.43,55.21,135.09,2.04
Sugarcane,165.36,82.39,115.28,8.19,36.91,61.56,292.73,6.9
Cotton,82.53,40.76,84.12,7.48,27.51,54.19,143.21,2.35
Wheat,155.29,34.31,60.4,6.47,19.75,57.74,147.66,2.45
Rice,35.38,0.0,37.38,6.28,24.62,93.23,157.03,2.77
Sugarcane,248.72,60.98,101.85,7.0,15.44,60.55,288.75,7.15
Soybean,107.08,66.47,49.57,7.34,36.74,64.13,30.0,1.44
Tomato,159.66,59.06,83.66,5.6,20.23,67.05,130.39,2.61
Potato,118.88,64.31,124.17,6.12,21.06,66.01,2.31,2.0
Wheat,94.0,66.98,125.71,7.35,33.68,65.69,118.51,2.24
Wheat,173.42,96.59,48.49,7.13,12.85,68.25,227.67,2.24
Potato,129.98,87.2,108.35,6.04,18.89,73.26,199.8,2.48
Tomato,90.51,39.79,74.91,6.87,24.74,63.57,133.08,2.57
Onion,126.41,56.66,43.69,6.92,28.58,59.3,120.13,1.74
Rice,92.81,26.91,42.21,7.05,23.31,66.71,135.43,2.84
Onion,117.86,21.88,44.04,7.11,24.08,61.14,109.55,1.73
Tomato,113.27,55.78,124.71,6.9,36.4,65.03,115.75,2.3
Sugarcane,175.71,138.04,89.56,8.16,23.78,64.47,232.94,6.99
Maize,177.69,79.02,41.67,6.73,23.4,55.85,135.6,3.81
Cotton,45.16,82.35,63.14,6.61,31.7,69.85,175.88,1.95
Soybean,112.61,25.67,39.56,6.04,32.12,66.17,172.27,1.8
Rice,54.13,28.26,65.88,6.11,28.62,72.17,184.3,2.75
Tomato,96.51,40.79,85.73,6.08,19.95,60.61,116.1,2.83
Groundnut,75.2,35.48,83.01,5.7,32.42,52.78,56.45,0.67
Sugarcane,198.43,111.6,113.4,6.73,25.05,65.83,244.43,7.5
